epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
0,0.01,0.7081,0.521,0.4951,0.6078,0.5308,101.38,yes,1.0259000062942505
1,0.00996,0.474,0.4511,0.4718,0.6176,0.564,29.54,yes,1.0568000078201294
2,0.00993,0.4105,0.4,0.5732,0.6078,0.5701,29.88,yes,1.0708999633789062
3,0.00989,0.392,0.4008,0.641,0.549,0.5737,29.31,yes,1.0886000394821167
4,0.00986,0.3961,0.2669,0.7182,0.7059,0.5818,29.37,yes,1.1169999837875366
5,0.00982,0.431,0.3778,0.4946,0.6471,0.5675,29.05,,
6,0.00978,0.4041,0.295,0.6685,0.7059,0.6453,31.7,yes,1.1900999546051025
7,0.00975,0.3848,0.2908,0.7345,0.6471,0.6522,30.14,yes,1.215999960899353
8,0.00971,0.3568,0.3573,0.7046,0.5882,0.7107,28.83,yes,1.288599967956543
9,0.00968,0.3725,0.2569,0.7775,0.6961,0.5789,28.99,,
10,0.00964,0.3453,0.3157,0.6873,0.6373,0.6045,28.76,,
11,0.0096,0.3498,0.3616,0.6966,0.598,0.5273,29.05,,
12,0.00957,0.3358,0.2586,0.7354,0.6569,0.6836,29.56,yes,1.311400055885315
13,0.00953,0.3316,0.3414,0.7493,0.5882,0.6305,30.12,,
14,0.00949,0.3533,0.3135,0.7345,0.5882,0.6384,29.47,,
15,0.00946,0.3243,0.2933,0.7416,0.6765,0.5919,29.03,,
16,0.00942,0.3324,0.2841,0.7223,0.6471,0.575,29.24,,
17,0.00939,0.3058,0.3674,0.6929,0.6373,0.6456,28.76,yes,1.3134000301361084
18,0.00935,0.3043,0.3448,0.7733,0.451,0.5352,28.78,,
19,0.00931,0.297,0.2222,0.7867,0.6176,0.6796,28.84,yes,1.3687000274658203
20,0.00928,0.3216,0.2887,0.7335,0.6373,0.701,29.61,yes,1.3946000337600708
21,0.00924,0.261,0.2729,0.7972,0.6667,0.66,28.8,,
22,0.0092,0.2904,0.4471,0.7274,0.5882,0.6073,29.51,,
23,0.00917,0.2407,0.3339,0.7634,0.5392,0.7106,28.29,yes,1.4226000308990479
24,0.00913,0.2684,0.4133,0.7908,0.4804,0.6558,28.66,,
25,0.0091,0.2708,0.353,0.7716,0.5392,0.6829,28.92,,
26,0.00906,0.2832,0.3649,0.7767,0.5392,0.6364,28.24,,
27,0.00902,0.3043,0.3487,0.7412,0.4118,0.7058,29.04,yes,1.4371000528335571
28,0.00899,0.2937,0.2613,0.728,0.5686,0.6738,41.01,,
29,0.00895,0.2395,0.213,0.7848,0.6471,0.6894,49.09,,
30,0.00891,0.2395,0.237,0.794,0.6471,0.7132,42.69,yes,1.455399990081787
31,0.00888,0.2457,0.2727,0.7643,0.6275,0.7174,42.08,yes,1.4616999626159668
32,0.00884,0.2286,0.2425,0.7966,0.6765,0.6374,44.25,,
33,0.0088,0.2261,0.2245,0.8187,0.5882,0.5626,30.48,,
34,0.00877,0.2128,0.1521,0.8224,0.7157,0.6813,38.2,,
35,0.00873,0.2372,0.3064,0.7543,0.6078,0.6023,40.07,,
36,0.00869,0.2576,0.3051,0.7848,0.6078,0.6394,47.9,,
37,0.00866,0.2915,0.313,0.8037,0.5196,0.5689,45.62,,
38,0.00862,0.3009,0.2681,0.8313,0.5882,0.6141,29.45,,
39,0.00858,0.2994,0.2083,0.8019,0.7255,0.5282,28.66,,
40,0.00855,0.2479,0.3448,0.8216,0.5784,0.6127,29.8,,
41,0.00851,0.2347,0.3824,0.7631,0.5294,0.6933,29.52,yes,1.4731999635696411
42,0.00847,0.221,0.3613,0.7752,0.5784,0.612,29.04,,
43,0.00844,0.212,0.2292,0.8209,0.6471,0.7448,28.5,yes,1.52839994430542
44,0.0084,0.2461,0.2368,0.8199,0.6961,0.6785,28.93,,
45,0.00836,0.2235,0.1207,0.8577,0.6667,0.7235,28.85,,
46,0.00833,0.2192,0.1359,0.8808,0.6863,0.6916,29.19,,
47,0.00829,0.1898,0.2584,0.8008,0.5784,0.6961,28.82,,
48,0.00825,0.2032,0.1331,0.8283,0.7255,0.7474,29.21,yes,1.5527000427246094
49,0.00822,0.2333,0.2711,0.7554,0.6765,0.7059,29.35,,
50,0.00818,0.2143,0.3456,0.8089,0.5392,0.6624,29.07,,
51,0.00814,0.2122,0.1888,0.82,0.6961,0.7176,28.82,,
52,0.00811,0.2419,0.1704,0.8327,0.6667,0.6615,29.25,,
53,0.00807,0.175,0.153,0.8266,0.6863,0.7922,28.92,yes,1.6002000570297241
54,0.00803,0.1875,0.3547,0.8223,0.4608,0.6157,28.7,,
55,0.008,0.2149,0.2357,0.7989,0.6961,0.7448,29.12,,
56,0.00796,0.1803,0.1246,0.8593,0.6863,0.7467,29.18,,
57,0.00792,0.1828,0.2654,0.8074,0.6471,0.658,28.62,,
58,0.00789,0.1986,0.3002,0.8646,0.5882,0.6935,28.89,,
59,0.00785,0.1682,0.1069,0.82,0.7353,0.6914,29.14,,
60,0.00781,0.2057,0.1816,0.7949,0.6176,0.6298,28.34,,
61,0.00777,0.1721,0.1282,0.8098,0.7157,0.6911,29.32,,
62,0.00774,0.1884,0.2958,0.8263,0.5686,0.6906,29.2,,
63,0.0077,0.1767,0.2425,0.8183,0.6471,0.7332,28.57,,
64,0.00766,0.1854,0.2581,0.8263,0.6765,0.6836,28.97,,
65,0.00763,0.1442,0.2006,0.8082,0.6961,0.6571,29.27,,
66,0.00759,0.1676,0.2301,0.7824,0.598,0.6705,28.6,,
67,0.00755,0.2445,0.1858,0.8713,0.6667,0.7069,29.75,,
68,0.00751,0.1867,0.2574,0.827,0.7255,0.6966,29.52,,
69,0.00748,0.1995,0.237,0.8099,0.5882,0.6807,29.51,,
70,0.00744,0.1748,0.1531,0.8087,0.6961,0.6914,29.29,,
71,0.0074,0.164,0.2911,0.8426,0.6275,0.6668,29.89,,
72,0.00737,0.1988,0.1333,0.8526,0.6471,0.6877,29.55,,
73,0.00733,0.1759,0.1956,0.8151,0.6275,0.6917,28.43,,
74,0.00729,0.1481,0.2699,0.8399,0.5686,0.7416,29.43,,
75,0.00725,0.1364,0.1313,0.8515,0.6863,0.7157,29.27,,
76,0.00722,0.1573,0.0755,0.8792,0.7157,0.8232,29.84,yes,1.6555999517440796
77,0.00718,0.1217,0.0375,0.8326,0.7843,0.7954,29.65,,
78,0.00714,0.1659,0.1584,0.8413,0.5784,0.7505,28.93,,
79,0.0071,0.1272,0.2185,0.8479,0.5392,0.7197,28.71,,
80,0.00707,0.1705,0.2499,0.8372,0.549,0.7391,29.26,,
81,0.00703,0.1319,0.0807,0.8486,0.7255,0.7547,29.32,,
82,0.00699,0.1617,0.1758,0.8345,0.5588,0.7104,28.85,,
83,0.00696,0.1533,0.0554,0.8087,0.7059,0.7901,29.26,,
84,0.00692,0.1223,0.1565,0.833,0.6569,0.708,29.02,,
85,0.00688,0.1314,0.1894,0.8356,0.6667,0.6864,29.22,,
86,0.00684,0.132,0.0962,0.8567,0.6667,0.737,28.63,,
87,0.0068,0.1423,0.1122,0.8861,0.7157,0.7874,29.43,,
