epoch,lr,train_loss,val_loss,dice_0,dice_1,dice_2,dice_3,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
0,0.01,0.1435,0.087,0.8258,0.0,0.0,0.0,0.5,0.5781,131.55,yes,0.784600019454956
1,0.00996,0.0243,-0.0141,0.863,0.0,0.5956,0.0,0.5,0.7871,75.42,yes,1.0094000101089478
2,0.00993,-0.0478,-0.0557,0.8578,0.0006,0.7493,0.4775,0.5,0.7949,76.44,yes,1.0470999479293823
3,0.00989,-0.1158,-0.1259,0.9199,0.4034,0.8002,0.5478,0.5,0.4043,75.43,,
4,0.00986,-0.1395,-0.1661,0.8926,0.6479,0.8001,0.7182,0.5,0.6719,76.55,,
5,0.00982,-0.1642,-0.1885,0.9231,0.7073,0.8294,0.7038,0.5,0.7344,76.42,yes,1.1202000379562378
6,0.00978,-0.1906,-0.2077,0.9239,0.6843,0.8593,0.7459,0.5,0.7188,76.8,yes,1.146299958229065
7,0.00975,-0.2186,-0.2295,0.9379,0.6869,0.8888,0.7429,0.5,0.5547,74.95,,
8,0.00971,-0.2245,-0.1937,0.9062,0.6921,0.8599,0.8057,0.5625,0.7188,77.38,yes,1.2200000286102295
9,0.00968,-0.2332,-0.2311,0.9421,0.7757,0.878,0.7348,0.5312,0.5195,76.01,,
10,0.00964,-0.2402,-0.234,0.9269,0.7174,0.8745,0.8435,0.5,0.6309,77.57,,
11,0.0096,-0.2542,-0.2412,0.9461,0.7633,0.9048,0.7998,0.5,0.668,75.77,yes,1.2618000507354736
12,0.00957,-0.2557,-0.2583,0.9491,0.7207,0.9101,0.7634,0.5,0.9102,77.42,yes,1.5282000303268433
13,0.00953,-0.2618,-0.2353,0.9303,0.7664,0.8697,0.8107,0.5,0.7656,78.62,,
14,0.00949,-0.2612,-0.2137,0.9227,0.6454,0.8534,0.7623,0.5,0.6797,76.0,,
15,0.00946,-0.2676,-0.2425,0.9141,0.7285,0.8996,0.7534,0.5,0.7871,77.47,,
16,0.00942,-0.28,-0.2461,0.9304,0.6965,0.8993,0.7861,0.5,0.8906,75.7,yes,1.5791000127792358
17,0.00939,-0.2689,-0.2286,0.9498,0.6595,0.8592,0.8278,0.5,0.7578,77.04,,
18,0.00935,-0.2817,-0.2635,0.9486,0.789,0.9084,0.8536,0.5,0.4531,76.05,,
19,0.00931,-0.2866,-0.2712,0.9339,0.8144,0.9188,0.8087,0.5625,0.8945,75.18,yes,1.6288000345230103
20,0.00928,-0.2869,-0.2439,0.9405,0.7463,0.9046,0.8241,0.5938,0.7422,77.65,,
21,0.00924,-0.2984,-0.268,0.9196,0.7887,0.8994,0.8316,0.6875,0.875,77.15,yes,1.632599949836731
22,0.0092,-0.2734,-0.2316,0.9324,0.7202,0.9075,0.846,0.5,0.7695,76.57,,
23,0.00917,-0.2952,-0.2864,0.949,0.7853,0.9107,0.8383,0.75,0.8711,76.25,yes,1.6484999656677246
24,0.00913,-0.2986,-0.228,0.9481,0.8324,0.9053,0.8688,0.75,0.7812,78.33,,
